,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
67,KPMG PLT,https://www.jobstreet.com.my/en/companies/443304-kpmg-plt,4.1477,129,114,36,8,11,88%,84%,"Level 10, KPMG Tower, 8 First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor",kpmg.com,1001 - 2000 Employees,"Medical, Education support, Dental, Sports (e.g. Gym)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
68,Permodalan Nasional Berhad,https://www.jobstreet.com.my/en/companies/441422-permodalan-nasional-berhad,4.6949,231,49,8,3,4,91%,92%,"Level 4, Menara PNB, 201-A Jalan Tun Razak, 50400 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",No Info,1001 - 2000 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),English & BM,"Regular hours, Mondays - Fridays"
69,Samsung Malaysia Electronics (SME) Sdn Bhd,https://www.jobstreet.com.my/en/companies/442262-samsung-malaysia-electronics-sme,4.0241,137,85,30,17,22,88%,78%,"Level 15, Mercu 2 No. 3, Jalan Bangsar, KL Eco City,  59200 Kuala Lumpur, Malaysia.",No Info,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Smart Casual,"English, Bahasa Malaysia, Mandarin Dialects","Regular hours, Mondays - Fridays"
70,Prasarana Malaysia Berhad,https://www.jobstreet.com.my/en/companies/616243-prasarana-malaysia-berhad,4.4589,180,82,20,4,6,86%,86%,"Menara UOA Bangsar, No. 5 Jalan Bangsar Utama 1, 59100 Kuala Lumpur",myrapid.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Education support, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
71,Infineon Technologies (Kulim) Sdn Bhd,https://www.jobstreet.com.my/en/companies/615785-infineon-technologies-kulim,4.354,166,84,27,6,8,92%,89%,"Lot 10 & 11, Jalan Hi-Tech 7, Kulim Hi-Tech Park, Kulim, Kedah, Malaysia.",No Info,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision",Professional Attire/Uniform/ according to Section,English,"Regular hours, Mondays - Fridays"
72,PwC Malaysia,https://www.jobstreet.com.my/en/companies/444589-pwc-malaysia,4.3798,162,90,22,8,5,91%,88%,"Level 10, 1 Sentral, Jalan Travers, Kuala Lumpur Sentral, P.O. Box 10192, 50706 Kuala Lumpur",No Info,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Vision",Casual Fridays,English,"Regular hours, Mondays - Fridays"
73,Perusahaan Otomobil Nasional Sdn Bhd (PROTON),https://www.jobstreet.com.my/en/companies/609961-perusahaan-otomobil-nasional-proton,4.1135,124,99,36,13,10,82%,81%,Proton Hicom Factory Shah Alam Selangor Malaysia,No Info,2001 - 5000 Employees,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
74,UEM Edgenta Berhad,https://www.jobstreet.com.my/en/companies/611551-uem-edgenta-berhad,4.2242,144,90,26,8,13,89%,86%,"UEM Edgenta Berhad, Level 17, Menara UEM, Tower 1, Avenue 7, The Horizon, Bangsar South City, No.8, Jalan Kerinchi, 59200 Kuala Lumpur",uemedgenta.com,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Parking, Vision",Smart Casual,English,"Regular hours, Mondays - Fridays"
75,Robert Bosch (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/439450-robert-bosch-m,4.2688,150,85,25,7,12,89%,82%,"Free Industrial Zone 1, Phase 1, 11900 Bayan Lepas, Penang",bosch.com.my,1001 - 2000 Employees,"Medical, Loans, Dental, Parking, Vision, Meal, Bonus, Teambuilding, Annual Dinner",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
76,Shell Business Operations Kuala Lumpur,https://www.jobstreet.com.my/en/companies/442958-shell-business-operations-kuala-lumpur,4.4065,171,70,24,5,8,92%,89%,"Wisma Shell, 3450, Jalan Teknokrat 3, 63000, Cyberjaya, Selangor Darul Ehsan,  Malaysia",shell.com.my,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, EPF Top-Up up to 4%",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
77,Hartalega NGC Sdn Bhd,https://www.jobstreet.com.my/en/companies/609938-hartalega-ngc,3.9097,126,70,35,22,24,93%,74%,"No.1 , Persiaran  Tanjung, Kawasan Perindustrian Tanjung, 43900 Sepang, Selangor",hartalega.com.my,More than 5000 Employees,"Medical, Education support, Sports (e.g. Gym)",No Info,Bahasa Malaysia & English,No Info
78,Schlumberger Business Support HUB Sdn Bhd,https://www.jobstreet.com.my/en/companies/455194-schlumberger-business-support-hub,4.4094,179,56,23,11,7,96%,86%,"1 First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",slb.com,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision",Business (e.g. Shirts),English,Saturdays/Shift required
79,DHL Express (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/440076-dhl-express-malaysia,4.4908,179,66,13,6,7,95%,87%,"Level 27, Menara TM, off Jalan Baharu, Kuala Lumpur 50762 Malaysia",No Info,1001 - 2000 Employees,Medical,Business (e.g. Shirts),English,"Monday - Saturday, 830am - 6pm"
80,Standard Chartered Global Business Services,https://www.jobstreet.com.my/en/companies/616739-standard-chartered-global-business-services,3.9449,121,78,34,15,24,88%,78%,"Wisma Standard Chartered, Jalan Teknologi 8, Taman Teknologi Malaysia, 57000 Bukit Jalil, Kuala Lumpur.",No Info,2001 - 5000 Employees,"Medical, Dental, Vision",Business (e.g. Shirts),English,Regular hours / Shift hours
81,Inari Technology Sdn Bhd,https://www.jobstreet.com.my/en/companies/449322-inari-technology,3.9963,118,85,38,6,23,85%,76%,"Plot 51, Hilir Sungai Keluang Empat, Phase 4, Bayan Lepas Free Industrial Zone, 11900 Bayan Lepas, Penang.",inari-tech.com,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
82,Concentrix,https://www.jobstreet.com.my/en/companies/441060-concentrix,3.7593,113,65,40,18,34,85%,69%,"KL Sentral office:UP Level, NU Tower 2, Jalan Tun Sambanthan, 50470, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia.",concentrix.com,More than 5000 Employees,"Medical, Dental, Career enhancement",Casual (e.g. T-shirts),English,Saturdays/Shift required
83,AIA BHD,https://www.jobstreet.com.my/en/companies/442905-aia,4.2201,142,79,26,6,15,91%,85%,"Level 17 - 24, Menara AIA, 99, Jalan Ampang  - 50450",aia.com.my,1 - 50 Employees,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English & Chinese,"Regular hours, Mondays-Fridays"
84,Golden Screen Cinemas Sdn Bhd,https://www.jobstreet.com.my/en/companies/441141-golden-screen-cinemas,3.97,121,71,41,14,20,79%,77%,"1 Jalan SS 22/19, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",gsc.com.my,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,Depending on job nature
85,foodpanda Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/460717-foodpanda-malaysia,3.6617,124,48,27,14,54,75%,59%,"A-5-01, Block A, Southgate Commercial Centre, No. 5, Jalan Dua Off Jalan Chan Sow Lin, 55200 Kuala Lumpur,",foodpanda.my,1001 - 2000 Employees,"Medical, Dental, Corporate Allowance; Lifestyle Allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
86,BP Healthcare Group,https://www.jobstreet.com.my/en/companies/444564-bp-healthcare-group,2.0712,25,19,42,45,136,52%,18%,"No 17, 19 & 21, Jalan Medan Tuanku Satu, Medan Tuanku,  50300 Kuala Lumpur, Federal Territory of Kuala Lumpur.",bphealthcare.com,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Bonus, commission, staff and family special rates",Business (e.g. Shirts),"English, Mandarin, Bahasa Malaysia",Office working hours
87,Safeguards G4S Sdn Bhd,https://www.jobstreet.com.my/en/companies/443460-safeguards-g4s,3.7311,94,67,63,22,19,83%,69%,"Jalan 225, Seksyen 51a, 46100 Petaling Jaya, Selangor, Malaysia",g4s.com,More than 5000 Employees,"Medical, Hostel Provided",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
88,Bank Negara Malaysia,https://www.jobstreet.com.my/en/companies/610466-bank-negara-malaysia,4.1985,150,60,23,12,17,92%,80%,"Jalan Dato Onn, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",bnm.gov.my,2001 - 5000 Employees,"Medical, Education support, Loans, Dental, Sports (e.g. Gym), Performance Incentive Scheme",Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
89,Honda Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/610687-honda-malaysia,4.2008,126,90,32,7,9,90%,85%,"HICOM Industrial Park Pegoh, 78000 Alor Gajah, Melaka.",honda.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Flexible Work Hours, Work From Home",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
90,Wistron Technology (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/459189-wistron-technology-malaysia,3.5808,120,39,29,16,56,80%,62%,"Jalan Sultan Abdul Samad 40, Bandar Sultan Sulaiman, 42000 Port Klang, Selangor, Malaysia",wistron.com,1001 - 2000 Employees,"Medical, Education support, Parking, Conducive working facility",Casual (e.g. T-shirts),Bahasa Malaysia & English & Mandarin,"Regular hours, Mondays - Fridays"
91,AIA Shared Services Malaysia,https://www.jobstreet.com.my/en/companies/453563-aia-shared-services-malaysia,3.0157,60,55,40,29,71,83%,47%,"Lingkaran Cyber Point Barat, 63000 Cyberjaya, Selangor.",aia.wd3.myworkdayjobs.com,1001 - 2000 Employees,"Medical, Dental, Sports (e.g. Gym), Vision, Monthly Transport Allowance, Birthday Leave, EPF Contribution of 16%, Games Room",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
92,Carsem (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439506-carsem-m,3.8346,97,68,55,18,16,77%,73%,"125, Jalan Lapangan Terbang, Taman Maju Rapat, 31350 Ipoh, Negeri Perak",No Info,More than 5000 Employees,"Medical, Education support, Dental, Parking, Medical for immediate family members, car subsidy  & home loan (for Executives)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
93,U Mobile Sdn Bhd,https://www.jobstreet.com.my/en/companies/446238-u-mobile,3.876,99,88,24,11,28,88%,77%,"Lot 11.01, Level 11, East Berjaya Times Square, 1, Jalan Imbi, 55100 Kuala Lumpur, Malaysia.",u.com.my,1001 - 2000 Employees,"Medical, Dental, Insurance, Handphone, Childcare / Parental Care Leave, Extended Maternity Leave",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
94,Citigroup Malaysia,https://www.jobstreet.com.my/en/companies/609984-citigroup-malaysia,4.1306,126,73,16,12,18,91%,82%,Menara Citibank Jalan Ampang Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,No Info,2001 - 5000 Employees,"Education support, Loans, Vision, Healthcare allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
95,AEON Co. (M) Bhd.,https://www.jobstreet.com.my/en/companies/1292283-aeon-co-m,4.1328,114,79,26,10,12,87%,82%,"Jalan Jejaka, Taman Maluri, 55100, Federal Territory of Kuala Lumpur, Malaysia",aeonretail.com.my,More than 5000 Employees,No Info,No Info,No Info,No Info
96,Bank Pertanian Malaysia Berhad (Agrobank),https://www.jobstreet.com.my/en/companies/631927-bank-pertanian-malaysia-berhad-agrobank,3.9831,99,85,23,10,20,84%,75%,"Leboh Pasar Besar, City Centre, 50050 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",agrobank.com.my,2001 - 5000 Employees,"Medical, Loans, Dental, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),Malay,"Regular hours, Mondays - Fridays"
97,Malaysia Marine and Heavy Engineering Sdn Bhd,https://www.jobstreet.com.my/en/companies/439793-malaysia-marine-and-heavy-engineering,4.3376,130,74,22,5,6,91%,90%,Pasir Gudang Johor Malaysia,mhb.com.my,2001 - 5000 Employees,"Medical, Sports (e.g. Gym)",Office Attire,English,Local Statutory
98,Pizza Hut Restaurant Sdn Bhd,https://www.jobstreet.com.my/en/companies/446416-pizza-hut-restaurant,4.178,126,62,28,4,16,80%,82%,Level 8 Tower 1 VSquare @ PJ City Centre Jalan Utara 46200 Petaling Jaya Selangor Darul Ehsan Malaysia,pizzahut.com.my,More than 5000 Employees,"Medical, Miscellaneous allowance, Staff Meals, Hostels",Uniform Provided,Malay,Saturdays/Shift required
99,Lumileds Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/439381-lumileds-malaysia,3.9915,107,67,32,13,17,91%,76%,"No. 3 Lintang Bayan Lepas 8, Kawasan Perindustrian Bayan Lepas Fasa 4, Mukim 12 11900 Penang",lumileds.com,More than 5000 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Vision, Service Awards",Smart Casual,English,"Regular hours, Mondays - Fridays"
100,ViTrox Corporation Bhd / ViE Technologies Sdn Bhd,https://www.jobstreet.com.my/en/companies/439545-vitrox-corporation-vie-technologies,4.3739,142,60,12,4,12,90%,86%,"746, Persiaran Cassia Selatan 3, Taman Perindustrian Batu Kawan, 14110 Bandar Cassia, Penang, Malaysia.",vitrox.com,501 - 1000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Music room, Free Vegetarian Lunch",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
101,Pos Aviation Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/440154-pos-aviation,4.3348,137,52,23,7,8,83%,77%,"Pos Aviation Sdn Bhd, Ibu Pejabat/Katering, Jalan KLIA S6, Southern Support Zone, 64000 KLIA, Sepang, Selangor",klas.com.my,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Dental, Staff purchase under DRB HICOM group",Uniforms,Both Malay & English,"Regular hours, Mondays - Fridays"
102,Aircomaster Sdn Bhd,https://www.jobstreet.com.my/en/companies/444546-aircomaster,3.9238,98,60,39,2,24,91%,87%,"No. 35-7 (PentHouse), Jalan SP2/1, Taman Serdang Perdana, 43300 Seri Kembangan, Selangor, Malaysia",No Info,1 - 50 Employees,"Medical, Education support, Basic, Performance Bonus, Training, Study Loan.",Business (e.g. Shirts),English and Bahasa Malaysia and Chinese,"Regular hours, Mondays - Fridays"
103,Agoda International (Malaysia) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/451453-agoda-international-malaysia,4.2432,128,58,14,6,16,99%,81%,Nu Sentral Jalan Stesen Sentral 5 Brickfields Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,careersatagoda.com,2001 - 5000 Employees,"Medical, Miscellaneous allowance, Discounted Hotel Stay anywhere in the world",Casual (e.g. T-shirts),English,Any 5 days in a week
104,Hotayi Electronic (M) Sdn Bhd (Hotayi Group),https://www.jobstreet.com.my/en/companies/439638-hotayi-electronic-m-hotayi-group,3.7252,130,17,9,16,50,87%,71%,"Bukit Tengah, 14100 Bukit Mertajam, Penang, Malaysia",hotayi.com,1001 - 2000 Employees,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
105,Motorola Solutions Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/609895-motorola-solutions-malaysia,4.2909,115,70,26,2,7,91%,85%,"Plot 2A, Medan Bayan Lepas, MUKIM 12, S.W.D, 11900 Bayan Lepas, Penang, Malaysia.",No Info,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Flexi working hours, cafeteria subsidy",Smart Casual,English,"Regular hours, Mondays - Fridays"
106,LAZADA MALAYSIA,https://www.jobstreet.com.my/en/companies/462498-lazada-malaysia,4.0872,116,53,20,10,19,90%,77%,"Unit G-1, Lobby A, UOA Corporate Tower, Avenue 10,  The Vertical, Bangsar South City, No. 8, Jln Kerinchi, 59200 Kuala Lumpur",lazada.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym)",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
107,Technip Energies,https://www.jobstreet.com.my/en/companies/441308-technip-energies,4.3657,131,51,23,4,7,89%,86%,"Level 15, Menara Technip Energies, 38 Jalan Inai, 55100 Kuala Lumpur, Malaysia",technipfmc.com,2001 - 5000 Employees,"Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
108,SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,https://www.jobstreet.com.my/en/companies/461812-swift-support-services-malaysia,3.8164,93,42,33,19,20,81%,47%,"Level 8,  UOA Corporate Tower, Lobby B, Avenue 10, The Vertical, Bangsar South City, No.8 Jalan Kerinchi, 59200 Kuala Lumpur",swift.com,2001 - 5000 Employees,"Medical, Education support, Dental, Parking, Vision, Flexible benefits, Health check benefit, Work from home policy",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
109,Silterra Malaysia Sdn Bhd,https://www.jobstreet.com.my/en/companies/609576-silterra-malaysia,3.7395,78,69,33,4,31,83%,75%,"Lot 8, Phase 2, Kulim Hi-Tech Park, 09090 Kulim, Kedah, Malaysia",No Info,1001 - 2000 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental, Sports (e.g. Gym), Parking, Bonuses",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
110,Universiti Teknologi PETRONAS (UTP),https://www.jobstreet.com.my/en/companies/440214-universiti-teknologi-petronas-utp,4.3925,127,60,17,4,6,94%,86%,"Universiti Teknologi PETRONAS, 32610 Bandar Seri Iskandar, Perak",No Info,501 - 1000 Employees,"Medical, Dental, Sports (e.g. Gym), Parking",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
111,TGV CINEMAS SDN BHD,https://www.jobstreet.com.my/en/companies/440471-tgv-cinemas,4.3886,126,56,19,5,5,88%,86%,"Jalan Ampang, Kuala Lumpur City Centre, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",tgv.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Free Monthly Movie Passes",Smart Casual,English,"Regular hours, Mondays - Fridays"
112,UTS Marketing Solutions Sdn Bhd,https://www.jobstreet.com.my/en/companies/452594-uts-marketing-solutions,3.6381,76,52,39,16,27,83%,66%,"Suites 802-803, 8th Floor, Plaza See Hoy Chan, Jalan Raja Chulan, 50200 Federal Territory of Kuala Lumpur, Malaysia",unitedteleservice.com,1001 - 2000 Employees,"Medical, Miscellaneous allowance","Monday to Thursday - Formal/ Traditional Attire, Friday - Smart Casual",English,"Office hours, Monday-Friday; 2 Saturdays in a month"
113,PUSPAKOM SDN BHD,https://www.jobstreet.com.my/en/companies/446976-puspakom,3.9952,111,38,25,15,19,82%,62%,Jalan Usahawan U1/8 Shah Alam Selangor Malaysia,puspakom.com.my,1001 - 2000 Employees,"Medical, Dental, Parking, Group Term Life & Group Personal Accident Insurance Coverage",Formal : Executive & Non Executive except for the operational staff (uniform),Bahasa Malaysia & English,"Regular hours, Mondays - Fridays"
114,UOA Hospitality Sdn Bhd,https://www.jobstreet.com.my/en/companies/466246-uoa-hospitality,2.3493,41,11,14,57,86,60%,26%,Bangsar South Jalan Kerinchi Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,uoa.com.my,501 - 1000 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Duty Meals, Uniforms + Suits",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
