,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
1896,Natural Oleochemicals Sdn Bhd,https://www.jobstreet.com.my/en/companies/439830-natural-oleochemicals,3.9091,11,12,7,2,1,96%,78%,"Plo 428, Jalan Besi Satu, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Meal allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1897,GRACE GENERATION INFORMATION TECHNOLOGY SDN. BHD.,https://www.jobstreet.com.my/en/companies/468909-grace-generation-information-technology,4.0303,18,8,2,0,5,90%,81%,"Unit 1.5 & 1.6, Level 1 Menara Sunway Annexe, Jalan Lagoon Timur 46150 Bandar Sunway, Selangor Darul Ehsan",ggit2u.com,1 - 50 Employees,"Medical, Dental, Parking",Smart Casual,"Mandarin, English, Bahasa Malaysia","Regular hours, Mondays - Fridays"
1898,AmMetLife Takaful Berhad,https://www.jobstreet.com.my/en/companies/469728-ammetlife-takaful-berhad,3.4848,7,8,13,4,1,90%,60%,"AmMetLife Takaful Berhad, 23th Floor, Menara 1 Sentrum, 201 Jalan Tun Sambanthan, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur,",No Info,51 - 200 Employees,"Medical, Education support, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1899,Scholastic (Asia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/447440-scholastic-asia,3.3333,10,8,5,3,7,72%,57%,"161 Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia.",scholastic.asia,51 - 200 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1900,Ms. Read (M) Sdn Bhd,https://www.jobstreet.com.my/en/companies/454765-ms-read-m,4.1515,21,6,1,0,5,90%,72%,"72B, Wisma Ms. Read, Jalan Sg.Besi, 57100 Kuala Lumpur",msreadshop.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Group Hospitalisation & Surgery Insurance, Group Personal Accident Policy",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1901,Kwantas Corporation Berhad,https://www.jobstreet.com.my/en/companies/451801-kwantas-corporation-berhad,3.8788,9,14,8,1,1,81%,78%,"KK Times Square, Block K-63-3rd Floor, Off Coastal Highway, 88100, Kota Kinabalu Sabah",No Info,More than 5000 Employees,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
1902,PropertyGuru International (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/456371-propertyguru-international-malaysia,4.1212,13,13,5,2,0,84%,75%,Bangsar South Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,propertygurugroup.com,1001 - 2000 Employees,"Medical, Dental, Rec Club activities, Incentives, Learning and Development",Smart Casual,English,"Regular hours, Mondays - Fridays"
1903,Merck Sdn Bhd,https://www.jobstreet.com.my/en/companies/440543-merck,3.6667,10,12,5,2,4,87%,75%,"Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",No Info,201 - 500 Employees,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1904,Fluor Daniel International (Malaysia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/466973-fluor-daniel-international-malaysia,4.5758,23,8,1,0,1,96%,87%,"Unit 2006, Level 20, Integra Tower, The Intermark, 348 Jalan Tun Razak, 50800 KL",No Info,More than 5000 Employees,Parking,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1905,FaxCore (Asia) Sdn Bhd,https://www.jobstreet.com.my/en/companies/445808-faxcore-asia,1.9091,6,2,0,0,25,60%,27%,Q Sentral Kuala Lumpur Sentral Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,No Info,1 - 50 Employees,"Medical, Miscellaneous allowance, Dental",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1906,The Andaman A Luxury Collection Resort,https://www.jobstreet.com.my/en/companies/439526-the-andaman-a-luxury-collection-resort,4.5758,24,6,2,0,1,100%,87%,"PO Box 94,Jalan Teluk Datai,Langkawi 07000 Kedah.",No Info,201 - 500 Employees,"Medical, Miscellaneous allowance, Parking",Uniform will be provided,English,"Regular hours, Mondays - Fridays"
1907,HONDA AUTOPARTS MANUFACTURING (M) SDN BHD,https://www.jobstreet.com.my/en/companies/439954-honda-autoparts-manufacturing-m,4.3939,17,13,2,1,0,87%,84%,"PLO 480, Jalan Keluli 3, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia",No Info,51 - 200 Employees,"Dental, Medical, Miscellaneous allowance, Parking, Sports (e.g. Gym)",Uniformed,Malay,"Regular hours, Mondays - Fridays"
1908,Sapura Resources Berhad,https://www.jobstreet.com.my/en/companies/622148-sapura-resources-berhad,3.8485,14,10,2,4,3,90%,72%,"[email protected], No. 7 Jalan Tasik The Mines Resort City, 43300 Seri Kembangan Selangor Darul Ehsan",sapura-resources.com,51 - 200 Employees,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1909,Unique Systems And Automation (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/443394-unique-systems-and-automation-m,1.5455,3,0,1,4,25,12%,9%,"Jalan S2 D36, Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",No Info,1 - 50 Employees,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1910,PERDANA KOTA BHARU,https://www.jobstreet.com.my/en/companies/463856-perdana-kota-bharu,4.4848,22,7,3,0,1,87%,87%,"Jalan Mahmood 15200 Kota Bahru, Kelantan",No Info,51 - 200 Employees,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English & BM,Saturday - Thursday
1911,Kemikon Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/439781-kemikon,3.2727,11,5,7,2,8,81%,48%,"1471, Lorong Perusahaan Maju 8, Kawasan Perindustrian Perai 4, 13600 Perai, Penang.",kemikon.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Vision, Insurance coverage",Casual (e.g. T-shirts),"English, Bahasa Malaysia","Regular hours, Mondays - Fridays"
1912,MBf Holdings Berhad,https://www.jobstreet.com.my/en/companies/461710-mbf-holdings-berhad,2.7879,4,12,1,5,11,57%,39%,"Cameron Road, Waigani, P.OBox 1711,Boroko, Papua New Guinea.",No Info,201 - 500 Employees,"Company Vehicle & Accommodation Provided, Medical, Miscellaneous allowance, Sports (e.g. Gym)",Business (e.g. Shirts),English,Saturdays/Shift required
